sex,age,experience,managing,degree,web,back,web_mobile,ios,android,human,salary
1.0,38.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,30000.0
0.0,38.5,15.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,50000.0
0.0,32.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1,87500.0
0.0,32.0,8.0,0.0,2.5,1.0,0.0,0.0,0.0,0.0,1,45000.0
0.0,38.5,15.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,120000.0
0.0,28.5,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1,21000.0
0.0,32.0,15.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1,133000.0
0.0,35.5,9.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,47686.0
0.0,35.5,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,34000.0
0.0,35.5,9.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,32.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1,52000.0
0.0,32.0,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,68000.0
0.0,22.0,2.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,1,31500.0
0.0,65.0,15.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,45500.0
0.0,25.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,34000.0
0.0,43.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,118000.0
0.0,28.5,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,42000.0
0.0,43.0,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,28.5,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,43200.0
0.0,43.0,15.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1,50000.0
0.0,28.5,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,36000.0
0.0,22.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,30800.0
1.0,35.5,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,101000.0
0.0,43.0,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,70000.0
1.0,35.5,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,55000.0
1.0,25.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,23000.0
0.0,35.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,38000.0
0.0,22.0,2.0,0.0,2.5,1.0,0.0,0.0,0.0,0.0,1,27500.0
0.0,35.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,69000.0
0.0,28.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,60000.0
0.0,35.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,49000.0
0.0,32.0,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,50600.0
0.0,25.0,3.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,30000.0
1.0,32.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,17000.0
0.0,32.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1,60000.0
0.0,43.0,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,193000.0
0.0,28.5,6.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,25728.0
0.0,28.5,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1,43000.0
0.0,32.0,8.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,55700.0
0.0,35.5,9.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,12000.0
0.0,22.0,2.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,30000.0
0.0,25.0,5.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,34000.0
0.0,25.0,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,30000.0
0.0,38.5,15.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,42000.0
0.0,47.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,57000.0
1.0,25.0,1.0,0.0,3.5,1.0,1.0,1.0,1.0,1.0,1,15400.0
0.0,25.0,2.0,0.0,2.5,1.0,0.0,0.0,0.0,0.0,1,28000.0
0.0,32.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1,68000.0
0.0,19.0,2.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,15766.0
0.0,32.0,15.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,25.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,51600.0
0.0,43.0,15.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,43000.0
1.0,28.5,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,35000.0
0.0,28.5,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,23000.0
0.0,22.0,3.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,17000.0
0.0,28.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,100000.0
0.0,22.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,13000.0
0.0,25.0,4.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,28000.0
0.0,28.5,1.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,21000.0
0.0,43.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,52000.0
0.0,25.0,5.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,35000.0
1.0,22.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,19500.0
1.0,28.5,7.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,29000.0
